Date,Altitude,Latitude,Longitude,ETo,Rn,Rs,max_temp,min_temp,mean_temp,max_RH,min_RH,mean_RH,U2,n/N,rainfall
7/1/1959,18.288,38°32',121°46',310.00,,746.00,97.00,53.00,75.00,100.00,17.00,58.50,154.00,1.00,
7/2/1959,18.288,38°32',121°46',328.00,,763.00,89.00,50.00,69.50,100.00,25.00,62.50,184.00,1.00,
7/3/1959,18.288,38°32',121°46',224.00,,759.00,93.00,52.00,72.50,100.00,16.00,58.00,65.00,1.00,
7/4/1959,18.288,38°32',121°46',320.00,,752.00,95.00,55.00,75.00,100.00,18.00,59.00,113.00,1.00,
7/5/1959,18.288,38°32',121°46',292.00,,756.00,94.00,53.00,73.50,88.00,24.00,56.00,138.00,1.00,
7/6/1959,18.288,38°32',121°46',336.00,,753.00,86.00,49.00,67.50,100.00,30.00,65.00,170.00,1.00,
7/7/1959,18.288,38°32',121°46',250.00,,749.00,83.00,51.00,67.00,100.00,36.00,68.00,87.00,1.00,
7/8/1959,18.288,38°32',121°46',229.00,,730.00,96.00,55.00,75.50,100.00,27.00,63.50,82.00,1.00,
7/9/1959,18.288,38°32',121°46',243.00,,735.00,100.00,64.00,82.00,81.00,29.00,55.00,84.00,0.99,
7/10/1959,18.288,38°32',121°46',252.00,,627.00,104.00,62.00,83.00,97.00,29.00,63.00,95.00,0.98,
7/11/1959,18.288,38°32',121°46',289.00,,664.00,105.00,60.00,82.50,100.00,27.00,63.50,121.00,0.99,
7/12/1959,18.288,38°32',121°46',320.00,,723.00,93.00,56.00,74.50,100.00,45.00,72.50,148.00,0.99,
7/13/1959,18.288,38°32',121°46',272.00,,702.00,85.00,54.00,69.50,100.00,45.00,72.50,169.00,1.00,
7/14/1959,18.288,38°32',121°46',251.00,,715.00,88.00,53.00,70.50,100.00,36.00,68.00,123.00,0.99,
7/15/1959,18.288,38°32',121°46',269.00,,711.00,95.00,53.00,74.00,100.00,23.00,61.50,83.00,1.00,
7/16/1959,18.288,38°32',121°46',298.00,,703.00,99.00,60.00,79.50,100.00,25.00,62.50,103.00,1.00,
7/17/1959,18.288,38°32',121°46',313.00,,690.00,100.00,60.00,80.00,95.00,28.00,61.50,119.00,1.00,
7/18/1959,18.288,38°32',121°46',303.00,,688.00,94.00,56.00,75.00,100.00,37.00,68.50,129.00,0.99,
7/19/1959,18.288,38°32',121°46',264.00,,716.00,95.00,54.00,74.50,100.00,33.00,66.50,108.00,1.00,
7/20/1959,18.288,38°32',121°46',264.00,,720.00,93.00,55.00,74.00,100.00,20.00,60.00,143.00,1.00,
7/21/1959,18.288,38°32',121°46',312.00,,710.00,93.00,59.00,76.00,100.00,16.00,58.00,151.00,1.00,
7/22/1959,18.288,38°32',121°46',272.00,,635.00,94.00,61.00,77.50,100.00,28.00,64.00,130.00,0.96,
7/23/1959,18.288,38°32',121°46',306.00,,661.00,96.00,58.00,77.00,100.00,26.00,63.00,118.00,0.96,
7/24/1959,18.288,38°32',121°46',280.00,,683.00,100.00,58.00,79.00,100.00,20.00,60.00,79.00,1.00,
7/25/1959,18.288,38°32',121°46',350.00,,691.00,104.00,56.00,80.00,100.00,12.00,56.00,120.00,1.00,
7/26/1959,18.288,38°32',121°46',286.00,,724.00,95.00,54.00,74.50,100.00,20.00,60.00,88.00,1.00,
7/27/1959,18.288,38°32',121°46',291.00,,705.00,97.00,57.00,77.00,100.00,18.00,59.00,93.00,1.00,
7/28/1959,18.288,38°32',121°46',304.00,,692.00,99.00,56.00,77.50,98.00,18.00,58.00,115.00,1.00,
7/29/1959,18.288,38°32',121°46',275.00,,690.00,93.00,53.00,73.00,100.00,23.00,61.50,115.00,1.00,
7/30/1959,18.288,38°32',121°46',280.00,,674.00,97.00,56.00,76.50,81.00,14.00,47.50,115.00,1.00,
7/31/1959,18.288,38°32',121°46',320.00,,700.00,98.00,48.00,73.00,100.00,15.00,57.50,107.00,1.00,
8/1/1959,18.288,38°32',121°46',261.00,,717.00,92.00,49.00,70.50,100.00,18.00,59.00,110.00,1.00,
8/2/1959,18.288,38°32',121°46',269.00,,709.00,93.00,55.00,74.00,100.00,15.00,57.50,109.00,1.00,
8/3/1959,18.288,38°32',121°46',281.00,,665.00,90.00,52.00,71.00,100.00,20.00,60.00,116.00,1.00,
